Hotel,Id,Ciudad,Pais,Usuario,Rating,PosNeg,Fecha,Review
JW Marriott Hotel Lima,rn175663211,Zaragoza,España,amanda123000,4,1,04/09/2013,"Habitaciones muy comodas El exterior imponente en frente del Pacifico, las zonas comunes bonitas aunque algo incomodo que este en la segunda planta el lobby. Muy amables el personal. Las habitaciones grandes, camas confortables y vistas preciosas. El baño con todas sus comodidades. Desayuno muy bueno. "
JW Marriott Hotel Lima,rn175314112,,,M Angelica M,5,1,02/09/2013,"Excelente hotel para adultos 100% recomendable, muy bien atendido, el personal amable, habitaciones excelentes, los baños impecables, infraestructura muy buena, los desayuno bufett variado y fresco, bien ubicado para pasear y para acceder a centros de interes, turisticos y comerciales. "
JW Marriott Hotel Lima,rn175275437,Rosario,Argentina,Liliana Susana F,5,1,02/09/2013,Excelente gracias ¡Hola realmente alli estuve en uno de mis ultimos viajes a lima es muy buen hotel estuve por negocios excelente hotel frente al mar en miraflores realmente todo cerca muy buena ubicacion atencion excelente ¡
JW Marriott Hotel Lima,rn175262850,Madrid,España,ElValen,5,1,02/09/2013,"Muy buena eleccion. De los mejores hoteles que yo he visitado. Limpio, cuidado y con un servicio muy profesional. La localizacion es excelente, solo te queda un poco lejos del barrio de San Isidro. Estuve alojado por trabajo, durante casi dos meses, y no puedo decir nada malo. "
JW Marriott Hotel Lima,rn172837790,Cartago,Costa Rica,MaJoCatala,4,1,18/08/2013,"Excelente ubicacion Excelente la ubicacion, se nos facilito encontrar todo lo que necesitabamos para nuestro viaje, en frente esta el centro comercial Larcomar donde se puede encontrar todo tipo de cosas. El lugar muy seguro y centrico, se pueden caminar unas cuantas cuadras y llegas al parque Kennedy. Las habitaciones excelentes, la vista es impresionante y super comodas, el servicio de habitacion..   "
JW Marriott Hotel Lima,rn170624581,Caracas,Venezuela,aaangelucci,5,1,03/08/2013,"Todo esta en los detalles La imponente arquitectura del edificio, la excelente ubicacion (justo frente al centro comercial Larcomar en Miraflores), la vista al mar desde las habitaciones (ademas de comodas, modernas y limpias, con baños espaciosos), la atencion de todo el personal del hotel, el insuperable desayuno en el cual conte mas de 12 tipos de panes y tortas, con una vista panoramica que..   "
JW Marriott Hotel Lima,rn169092502,Bogota,Colombia,Eduardo D,5,1,25/07/2013,"Imponente hotel en Lima Excelente ubicacion, buena comida y una vista espectacular al pacifico. El servicio a la altura de Marriott y al hotel no le falta nada. Muy recomendado para eventos y vacaciones en familia. Desde el check in, servicio en el restaurante funciona perfecto. "
JW Marriott Hotel Lima,rn168709794,Lima,Peru,placeOK,4,1,23/07/2013,"A pesar de ser un hotel para eventos es bastante comodo A diferencia de otros hoteles, las oportunidades que he tenido de estar en sus instalaciones he podido notar que se mantiene un buen orden con respecto a los eventos que se organizan alli y los huespedes alojados. Tienen un buen servicio y una excelente ubicacion en pleno centro de Miraflores asi que puede considerarse, en primer lugar, para un viaje..   "
JW Marriott Hotel Lima,rn165986884,Cartagena,Colombia,Tricialena,5,1,01/07/2013,"Lo mejor de Lima Excelente ubicacion con una Espectacular vista al Oceano Pacifico, Atencion inmejorable, las habitaciones acogedoras con ciertos detalles que hacen querer regresar, ejemplo de ello la cajita de trufas en señal de bienvenida.. me encanto! "
JW Marriott Hotel Lima,rn165916729,Santiago,Chile,Luz Maria A,5,1,01/07/2013,"EXCELENTE Las instalaciones del hotel son muy buenas, las habitaciones modernas, amplias y comodas. Con una gran vista al mar. El personal fue siempre muy amable y servicial. Existe un servicio de atencion de 24 horas en una sala especial con snacks y estar, muy comodo y util. La ubicacion nos parecio muy buena, buen barrio, tranquilo y seguro. Al..   "
JW Marriott Hotel Lima,rn165895925,Buenos Aires,Argentina,Hector Mario C,5,1,01/07/2013,"Hotel de categoria, con magnifica vista al Pacifico Es un hotel de gran categoria, con todos los detalles esperables: cafetera Illy en el cuarto, muy buen restaurante, excelente vista, servicio de wi fi gratuito en habitaciones y salones de eventos, muy bien ubicado frente al shopping Larcomar. "
JW Marriott Hotel Lima,rn165686074,,,Liloposada,5,1,29/06/2013," Excelente Hotel Si quieres tener una muy buena estadia, descansar y comer bien... Hospedarte en este hotel es lo mejor. El restaurante y su buffet son muy buenos en todos los horarios de comidas. Muy bien situado al frente del malecom y a Larcomar. La atencion se su personal excelente. Moderno y juvenil con espacios sociales agradables y un excelente gimnasio. Las..   "
JW Marriott Hotel Lima,rn164918354,Mexico D. F. ,Mexico,OriMexicoD_F_,4,1,23/06/2013,"buena opcion en Lima Este es un hotel nuevo muy moderno muy ejecutivo en la zona mas nice de Lima Miraflores, sus habitaciones excelentes, con todos los servicios, buen restaurante y Bar, se ve que mucha gente local va a reunirse ahi, este hotel esta localizado frente a un centro comercial muy moderno con tiendas y restaurantes con un ambiente muy alegre un lugar..   "
JW Marriott Hotel Lima,rn164735096,Quito,Ecuador,Meri B,5,1,21/06/2013,"Fantastico Es un hotel fantastico, bien situado, limpio. Las habitaciones son amplias y el baño es fantastico. El staff es super amable, un dia incluso me obsequiaron con unos platanos cuando pregunte donde podia comprar fruta. El gimnasio es super completo. El desayuno es de los mejores que he probado. Desde luego merece la pena! "
JW Marriott Hotel Lima,rn161820825,,,Juan C,5,1,25/05/2013,"muy bonito y muy bien ubicado la calidad caracteristica de los marriott podemos conseguirla en este sitio, los salones son muy comodos y bonitos, la comida es de la calidad suficiente como para honrar a la muy excelente cocina peruana, la ubicacion es frente al centro comercia larcomar el cual es una atraccion la cual hay que visitar debido a su belleza "
JW Marriott Hotel Lima,rn161725269,Lima,Peru,PTVLima_Lima_Peru,5,1,24/05/2013,"Una grata visita En este mes, visite el Health Club del Hotel Marriott y tengo que decir que fue una experiencia inolvidable, desde la atencion que me brindaron y la calidad del servicio de este establecimiento, quiero agradecer mucho a Carlos, por ser atento y ayudarme en las instalaciones del baño y ser una persona muy agradable, y agradezco asi mismo a..   "
JW Marriott Hotel Lima,rn160934949,Santiago,Chile,gcalvo100,5,1,16/05/2013,Excelente hotel. Cumple perfecto la relacion calidad versus precio. Un hoteles bien ubicado. Todo el personal muy amable y comprometido con el huesped. Se nota tienen claro el concepto de servicio para un hotel de categoriaMuy buenas las camas y almohadas. Restaurant y bar con todo lo que uno requiere 
JW Marriott Hotel Lima,rn160317482,Buenos Aires,Argentina,Nilda2013,4,1,10/05/2013,Magnifica ubicacion No estuve alojada en este hotel Pero cuando pasaba pensaba que bien ubicado esta este hotel. No queria grandes gastos en mi viaje de modo que opte por otra hotelEste sinceramente me pareceque para el que lo quiera pagar es muy bueno 
JW Marriott Hotel Lima,rn160000890,Montevideo,Uruguay,mjbonilla,5,1,07/05/2013,"excelente Realmente la mejor ubicacion, las instalaciones excelentes, su atencion de primera, sin dudas creo que es el mejor. Fuimos en el mes de abril para nuestro aniversario, nos sentimos como en casa, su restaurant muy bueno y todo su personal desde el que nos recibio, la recepcion, en restaurant, en definitiva todos. Muy bueno. "
JW Marriott Hotel Lima,rn159859317,Lima,Peru,suilau,5,1,06/05/2013,"un hotel de primera! hace unas semanas nos hospedamos en el marriott por nuestro aniversario. ha sido una experiencia de primera. la ubicacion del hotel en el corazon de miraflores te permite salir a pasear por las callecitas del distrito, echar un vistazo a larcomar y dar caminatas o bicicleteadas por todo el malecon. la vista desde el hotel de toda la costa es..   "
JW Marriott Hotel Lima,rn159182953,mexico,Mexico,xerofila,5,1,29/04/2013,"Descanso como en casa Es la segunda vez que estoy en este hotel y sin ninguna nota mala, la atencion de todo el personal es encantadora, no importa la hora que sea y del asunto de que se trate, muy a gusto y siempre disfrutando de vista al mar, las amenidades de lujo. Muy bien ubicado, en frente el centro comercial se puede dar..   "
JW Marriott Hotel Lima,rn159071344,Rosario,Argentina,Jose K,5,1,28/04/2013,"estadia en Lima Excelente hotel, lubicado estrategicamente en un hermoso barrio de Lima, con una inmejorable vista al mar. el confort de las habitaciones muy bueno, solamente criticable que el wi fi no era gratis en la habitacion. el desayuno completisimo, la calidad de la comida muy buena. Muy cordial la atencion del personal. gimnasio muy completo y con profesores atentos a las..   "
JW Marriott Hotel Lima,rn158051965,San Juan,Puerto Rico,MYRNA R,5,1,17/04/2013,"Sorprendente Peru! Llegamos al area de MIraflores en Lima y nos encontramos este preciso hotel de frente al Oceano Pacifico. Que vista tan hermosa, de noche o de dia. La playa es preciosa pero no la usan para bañarse por sus aguas frias, a diferencia del Caribe de donde soy. El area esta super centrica y puedes caminar por el centro de..   "
JW Marriott Hotel Lima,rn157802216,Lima,Peru,Jgoyburu,5,1,15/04/2013,"No me lo esperaba Realmente la calidad y atencion en el hotel son increibles. Mi esposa y ella nos hemos quedado en varios hoteles 5 estrellas en Lima y hasta ahora el Marriot ha sido el mejor. Recomendamos gastar un poco mas y quedarse en habitaciones que esten arriba del piso 19 y que tengan acceso al executive lounge, el cual te soluciona la..   "
JW Marriott Hotel Lima,rn157365578,Buenos Aires,Argentina,cladan04,4,1,10/04/2013,"muy buena ubicacion muy buena ubicacion en la mejor parte del barrio miraflores, buena la atencion, pero muy incomodo la entrada por la galeria comercial, la recepcion en el segundo piso y tener que cambiar de. elecador contantemente para ir a la habitacion, hay que tomar uno de la galeria al segundo piso y de ahi otra a las habitaciones. "
JW Marriott Hotel Lima,rn157045463,Cordoba,Argentina,Silvina A,5,1,08/04/2013,"para recomendar el salon ejecutivo! Fuimos un fin de semana, con 3 niños. Reservamos habitaciones conectadas, llegamos antes, los recibieron igual, rapidamente. El servicio fue excelente. Todos muy atentos y amables ante cualquier consulta. El salon ejecutivo nos vino muy bien con los niños, ya que es un alivio picar algo muy rico sin tener que salir del hotel, tipo buffet, en un ambiente muy..   "
JW Marriott Hotel Lima,rn156935567,,,Roboscan,5,1,07/04/2013,"Excelente Hotel Hotel muy bien ubicado sobre todo si vas de paseo por Lima. Estuvimos 4 noches para semana santa y nos sentimos muy bien en este hotel, responde perfecto en todos los aspectos. Mencion especial a la linda vista que tiene al pacifico. Personal amable. Excelentes habitaciones, frente a larcomar y proximos a los mejores restaurantes de miraflores. "
JW Marriott Hotel Lima,rn156472023,Quito,Ecuador,Marco Andres A,5,1,03/04/2013,"Excelente servicio excelente servicio del personal, siempre atentos a los requerimientos de los clientes, soliciten las habitaciones que tienen vista al mar, si tienen suerte las consiguen porque son muy demandadas, yo tuve que esperar unas horas para que me dieran una, pero mientras tanto hice uso de las instalaciones del hotel sin ningun problema, el sauna muy bueno. altamente recomendable "
JW Marriott Hotel Lima,rn155980786,Santiago,Chile,DaNunesP,5,1,29/03/2013,"En todo sentido un excelente Hotel El JW de Lima es un Hotel completamente recomendable ya sea para negocios o placer, la ubicacion es excelente frente al Mall mas bonitos que he conocido el Lancomar, este mall tiene de todo, tiendas de buen nivel, tiendas de turismo, supermercado, cine restoranes y cafeterias con una vista espectacular, cine, entre otras cosas. Las habitaciones son muy comodas con..   "
JW Marriott Hotel Lima,rn155774673,Altafulla,España,AFrancino,5,1,26/03/2013,"Excelente servicio Estuve en el Fitness center y cenando en el hotel, y la verdad es que desde el primero hasta el ultimo de los empleados del hotel se desviven por el cliente, una excelente gestion de la atencion al mismo. El Fitness center muy limpio y grande, con sauna y baño turco, y el restaurante excelente en la comida japonesa. Muy..   "
JW Marriott Hotel Lima,rn155658701,Buenos Aires,Argentina,Adriana D,5,1,25/03/2013,"Espectacular en todo sentido! Este hotel se destaca en muchos aspectos: la ubicacion, los amenities, la belleza de su arquitectura y decoracion, la inmejorable vista al mar, la cercania con el Centro Comercial Larcomar.. Imperdibles los atardeceres desde la terraza de la piscina. Buenisimos los desayunos, gran variedad y exquisito todo, recien preparado, a pedido y muy variado. Sumado a todos esos atributos, lo..   "
JW Marriott Hotel Lima,rn155410379,,Chile,manufromchile,5,1,23/03/2013,"Extraordinario.. Si tienen la ocasion de visitar Lima, que dicho sea de paso es una muy bella ciudad, el JW Marriott de Miraflores es un imperdible. Instalaciones elegantes, pulcras, un servicio extraordinario, amabilidad de todos los integrantes del hotel, en la suma, lo mejor de lo que vivimos en la ciudad. Al menos la habitacion Oceano View, en la cual aloje..   "
JW Marriott Hotel Lima,rn155066006,,,matonitaroman,5,1,19/03/2013,"Altamente recomendable Este hotel es excelente. Su ubicacion es inmejorable, al igual que el servicio y la limpieza. Los alimentos que ofrecen tienen la mejor calidad y el sabor es digno de cualquier gourmet. La zona en la que esta ubicado el hotel es muy bella y conveniente. La vista del malecon (incluyendo los hermosos atardeceres del Oceano Pacifico) es increible. Con..   "
JW Marriott Hotel Lima,rn154960643,Caracas,Venezuela,Jorge A,4,1,18/03/2013,"Muy bueno conforme lo esperado Creo que JW Marriott ha logrado la standarizacion del buen servicio. La seman pasada me toco visitar Lima y en mi opinion esta es una muy buena opcion. Servicio atento y gentil, muy buena suite y la comida mejor de lo esperado. Muy buena opcion para ub proximo viaje. "
JW Marriott Hotel Lima,rn154947420,Arica,Chile,AndreaLARRA,5,1,18/03/2013,"Excelente como siempre JW marriott Fuimos a evento en Lima, excelente las habitaciones amplias, camas muy comodas, el desayuno costaba parece 25 soles, pero era lo mejor que he visto hace años. Al almuerzo hay Buffett, espectacular, hay lomo salteado, ceviche riquisimo, no olvidar comer noquis con salsa a la huancaina, habia tanta variedad que no puede probar todos los platos. Ubicacion excelente frente a..   "
JW Marriott Hotel Lima,rn154906737,Santo Domingo,Republica Dominicana,comecoco1,5,1,17/03/2013,"excelente servicio Acabo de regresar de Lima donde estuve en una reunion de negocios, nos quedamos en el JW Marriot, el serviciofue excelente, el personal es amable, profesional y responde a tus necesidades. La habitacion es confortable y te permite descansar despues de un dia de trabajo. los suplementos que colocan en el baño son de primera. La variedad de alimentos asi..   "
JW Marriott Hotel Lima,rn151029850,Alcala de Henares,España,ILDEFONSO V,4,1,30/01/2013,"GRAN HOTEL EXCELENTEMENTE SITUADO Es un gran hotel, con un gran lobby para recibir a clientes o llevar a cabo negocios. El Pisco sour es de lo mejor de Lima. El restaurante tiene un buffet libre los domingos de escandalo a un precio super recomendable. "
JW Marriott Hotel Lima,rn149887997,Lima,Peru,Sarita S,5,1,17/01/2013,"Excelente hotel frente al mar limeño El hotel es de primera, las instalaciones modernas y lujosas, el servicio excelente. Pase mis primeras dos noches de boda y tanto mi esposo como yo quedamos encantados. El bar en el lobby no presenta una oferta muy amplia asi como el restaurant asi que solo tomamos una copa y preferimos pasear y comer en el centro comercial que esta..   "
JW Marriott Hotel Lima,rn149637957,Santiago,Chile,cfontecilla,4,1,14/01/2013,"Buenas instalaciones y muy buena ubicacion Es un agrado estar en ese Hotel. El servicio muy bueno, habitaciones amplias y con buena vista. Frente al mall que esta frente al mar. Muy buena experiencia y buen precio/calidad. Esta a 30 minutos del Aeropuerto en el barrio Miraflores, que es muy binito, seguro y tranquilo. "
JW Marriott Hotel Lima,rn149472664,Buenos Aires,Argentina,ChristianyAndrea,4,1,11/01/2013,"Muy confortable en lo mejor de miraflores Muy confortable. Habitaciones sobrias y bien equipadas con vistas inigualables al mar. Excelente ubicacion frente a mall cerca de muy buenos restaurantes y casinos. Hay que tener cuidado con los extras, por ejemplo wifi que en las habitacion cuesta 10 dolares el dia. El desayuno es demasiado caro por lo que es. Recomiendo ir al starbucks que esta ubicado en..   "
JW Marriott Hotel Lima,rn149071652,San Juan,Puerto Rico,Roberto F,5,1,07/01/2013,"Extraordinarias atenciones y muy buena ubicacion Tuve la oportunidad de quedarme con mi familia en dos ocasiones: dos noches a finales de diciembre 2012 a mi llegada y cuatro noches a principios de enero 2013 a mi partida de Peru. Las atenciones recibidas de todo el personal del Marriott fueron extraordinarias, esperadas en un hotel de esta categoria. En especial destaco el trato personalizado de Carlos..   "
JW Marriott Hotel Lima,rn148558330,,,Kemadito,4,1,01/01/2013,"Recomendado Muy buen hotel a pesar del estilo americano, la atencion es excelente, el personal plenamente capacitado, las habitaciones espaciosas aunque la q nos toco tenia vista parcial al oceano y tambien a otras habitaciones pero solucionable "
JW Marriott Hotel Lima,rn147924017,Medellin,Colombia,Juan Carlos M,5,1,22/12/2012,"Gran Estadia Comodas habitaciones y servicio inmediato.. Locacion Extraordinara y gran paisaje, el buffet es variado y de buen gusto.. El gimnacio es grande y el spa tiene gran variedad de masajes y terapias. Al frente del hotel tienes un mall en el cual puedes hacer tus compra y gran variedad de restaurantes. Tambien cuentas con teatro y cine. "
JW Marriott Hotel Lima,rn147873972,Sto. Dgo. ,Republica Dominicana,cfermin1601,5,1,21/12/2012,"Business trip - excellent Este hotel esta ubicado en Miraflores, con vista al mar y con un mall en el frente. Sus atenciones me encantaron, llegue a las 2 am y a esa hora recibi un muy buen trato, me ayudaron a esa hora con la ropa de lavanderia ya tenia un almuerzo en unas horas. Una recomendacion, colocar mas espejos, uno de cuerpo..   "
JW Marriott Hotel Lima,rn146974257,Rancagua,Chile,IsabelMargarit,5,1,07/12/2012,"Excelente hotel Elegi este hotel por ser categoria Marriot y por su excelente ubicacion. Es realmente un hotel 5 estrellas por los servicios que ofrece, por la excelente ubicacion ya que tienes muchos restaurant cerca, tienes al frente un completo centro comercial, por la linda vista desde la habitacion y por la atencion permanentemente de su personal, siempre pendientes de ayudar en..   "
JW Marriott Hotel Lima,rn144692870,Caracas,Venezuela,fannysalerno,5,1,05/11/2012,"estadia 5 estrellas Este hotel ofrece las mejores comodidades para pasar una estadia estupenda. El personal del hotel resulto super amable y en especial Laura, quien se desempenia como concierge, que nos encontro estupendas actividades para pasar unas vacaciones espectaculares. El restaurant donde sirven el desayuno es supremo. Tiene un plus adicional, la vista del hotel es preciosa. "
JW Marriott Hotel Lima,rn143550376,Argentina,Argentina,isidorita,5,1,23/10/2012,"Inmejorable ubicacion-Excelente eleccion Acabamos de llegar de Lima, hemos estado 6 dias en el JW Marriot. Luego de recorrer gran parte de Lima y ubicar los hoteles mejor posicionados en el ranking, comprobe que la eleccion del Marriot habia sido la mejor, la vista, la inmediatez de un gran centro comercial con restaurantes, teatros y cine, el bello, seguro e impecable Distrito de..   "
JW Marriott Hotel Lima,rn143538224,,,Gtealdo,5,1,23/10/2012,"Muy bueno Me encanto el hotel, muy tranquilo. El servicio muy bueno. La ubicacion es excelente y la atencion de primera. El desayuno buffet fue espectacular. Yo me quede para pasar mi noche de bodas. Me hubiera gustado que me ofrezcan ayuda para llevar mis maletas, yo tuve que solicitarla, salvo eso todo muy bueno. "
JW Marriott Hotel Lima,rn140956753,Quito,Ecuador,Jorge C,5,1,22/09/2012,"Muy buen 5 estrellas Habitaciones comodas, comida buena que puede ser mejor dado la gastronomia peruana que es excelente, amables, te ayudan con reservas en los mejores restaurantes de Lima, servicio de lujo de taxis mercedes benz, ubicado en una zona exclusiva de Lima. Estuve dos dias en este hotel por evento cientifico "
JW Marriott Hotel Lima,rn139314588,Tijuana,Mexico,sury777,5,1,03/09/2012,"Excelente hotel, no me esperaba menos de un marriot! nos quedamos en ese hotel, mi esposo, mi hijo y yo solo por una semana, ya que anduvimos por casi todo peru, y todo estuvo muy bien, el personal es excelente, te atienden muy amables todo el tiempo, todos, desde el bell boy, recepcion, meseros, camareras, bueno.. todos, es genial que los capaciten para ser excelentes, en general, muy bonitas habitaciones todo..   "
JW Marriott Hotel Lima,rn139181903,Barcelona,España,CRamirezz,4,1,02/09/2012,"Hermosa vista al Mar Tiene una muy buena ubicacion, en pleno Miraflores, una vista preciosa al oceano pacifico. Buen servicio en general, buena comida, tragos, las habitaciones son muy comodas. Cuenta con una sala de gimnasio muy completa y tambien tiene vista al mar. "
JW Marriott Hotel Lima,rn138559084,Santiago,Chile,Bennet G,5,1,27/08/2012,"Vista espectacular, confort y buena ubicacion. Es un hotel realmente bueno, las habitaciones muy espaciosas y las camas confortables. De dia las vistas a los barrancos de Lima son magnificas y de noche las luces del mall y la ciudad lo hacen especial. La ubicacion es muy buena, comodo estar a unos pasos del Larcomar y localizado en el distrito de Miraflores donde hay mucha actividad..   "
JW Marriott Hotel Lima,rn137843803,Niza,Francia,Andres74,4,1,20/08/2012,"calidad Marriott El hotel esta excelentemente localizado para el viajero de corta estadia en Lima y que desea aprovechar de una buena experiencia de la ciiudad. Las instalaciones estan en buen estado si bien no es un hotel nuevo y el servicio acorde a los estandares JW. En mi habitacion falto el maletero, al solicitarlo fue enviado rapidamente. Es poco practico subir..   "
JW Marriott Hotel Lima,rn137834562,Santiago,Chile,Cantagua41,4,1,20/08/2012,"Buen hotel, buena ubicacion La ubicacion es muy buena, frente al Mall Larcos, acceso a taxi facil, vista al Mar, lugar bueno para pasear caminando, exelentes instalaciones buena comida, excelentes piezas. La atencion es buena, lamentablemente cobran $16 USD por internet en la pieza y en el Lobby, no funciona siempre. "
JW Marriott Hotel Lima,rn136213902,Montevideo,Uruguay,JoseC3,4,1,04/08/2012,Excelente ubicacion. Buen Hotel Es un hotel icono de LIma por su construccion ultramoderna. Su diseño con vista al Paqcifico es muy lindo ya que proporciona lindas vistas desde las habitaciones. - Tien una diseño extraño en el sentido de que debes tomar un ascensor para ir al lobby que esta en el segundo piso. En el primero hay una galeria no demasado atractiva...   
JW Marriott Hotel Lima,rn134988058,,,Danielmujica,5,1,21/07/2012,"Gran hotel, Me aloje en el hotel para pasar 31 de dic, ya que tenia planeado ir de vacaciones a comer en buenos restaurantes, y que mejor que Lima para esto. El hotel esta ubicado cerca de la playa, a una cuadra de centro comercial, lo cual lo hace muy comodo. Las instalacionesuy buenas, y el desayuno excelente. En cuanto a..   "
JW Marriott Hotel Lima,rn134057505,Guayaquil,Ecuador,NathalieMaciasP,4,1,10/07/2012,"excente atencion nada mas les cuento mi experiencia, el hotel muy lindo, la comida me parecio muy basica, el business center por momentos quedaba muy pequeño por la cantidad de personas que van. desde mi habitacion se veia un letrero gigante de claro. como es un JW esperaba que sea mejor. "
JW Marriott Hotel Lima,rn133166652,Buenos Aires,Argentina,BuenosAiresAle,5,1,01/07/2012,"Buen hotel de negocios. El hotel refleja el alto standard de todo hotel internacional de la cadena Marriott. Las habitaciones son amplias, comodas y espaciosas, buen servicio de wifi y es, sin lugar a dudas, uno de los mejores de Lima. El business center es completo y adecuado. En la planta baja cuenta con un bar impecable donde por las tardes toca un pianista..   "
JW Marriott Hotel Lima,rn132683752,Palma,España,FernandoPalma,4,1,24/06/2012,"Excelente hotel, especialmente para negocios Muy buena opcion para un viaje de negocios, especialmente si se ha reservado una habitacion con acceso al business lounge. "
JW Marriott Hotel Lima,rn131374862,,,Luis F,5,1,05/06/2012,"Excelentes instalaciones y ubicacion Estuvimos los primeros dias de mayo, el hotel espectacular, la ubicacion frente al malecon y al centro comercial Larco Mar excelente, el desayuno bufet lo mejor de Lima. Solicitamos que nos rediman los puntos marriott rewards y nos quedaron mal, nos derivaron con Claudia la encargada de este tramite y nunca hicieron nada?????? "
JW Marriott Hotel Lima,rn130871553,Zaragoza,España,Mariveles,5,1,29/05/2012," Expectacular Hotel muy bien ubicado en una de las mejores zonas de Lima, desde la habitacion unas vistas maravillosas al mar y al Malecon, justo enfrente de una zona comercial ideal para pasear. La habitacion espaciosa, muy limpia y con cama de 180 cm muy confortable. El desayuno muy completo y el personal muy amable. La comida en el restaurante..   "
JW Marriott Hotel Lima,rn130467657,Viña del Mar,Chile,EliasVinadelmar,5,1,23/05/2012,"gran hotel Gran Hotel, de gran costo, sin embargo el que la tarifa no incluya el desayuno es un robo. Ya pagando un alto precio deberia correr el desayuno dentro del mismo. El personal excelente. "
JW Marriott Hotel Lima,rn130373811,Santiago,Chile,Monica A,4,1,21/05/2012,"Habilitacion y ubicacion muy buena Fui en viaje de trabajo, la habilitacion y comodidad de las habitaciones muy buenas. Las camas de buena calidad, conexion a internet, vista al mar en la habitacion que estuve, temperatura perfecta, baño bastante amplio y con estandar alto de habilitacion. El servicio bastante amable aunque se contradijeron bastante en dar informacion. Ubicacion privilegiada, con excelentes restaurantes cerca, mall al..   "
JW Marriott Hotel Lima,rn130098751,,,dsegurad,5,1,17/05/2012,"Excelente todo excelente, la habitacion, el servicio, la ubicacion, el desayuno... "
JW Marriott Hotel Lima,rn127828359,Caracas,Venezuela,JCMATTEI,5,1,13/04/2012,"Excelente Hotel, excelente ubicacion.. Nos quedamos tres noches en este hotel de Lima. Por sus instalaciones y su excelente ubicacion es una opcion ideal para paseo en esta ciudad.. No es economico, pero lo muy bueno nunca lo es.. y la verdad es bastante bueno.. Se los recomiendo.. "
JW Marriott Hotel Lima,rn127090756,Caracas,Venezuela,NPB1961,5,1,01/04/2012,"Excelente Hotel Estuve en Octubre 2011 visitando un amigo, la ubicacion es fabulosa, la vista espectacular sobre el mar de todas las habitaciones, frente al hotel un mini centro comercial muy bonito, esta ubicado en al mejor zona de Lima "
JW Marriott Hotel Lima,rn126942085,Santiago,Chile,Andrea A,4,1,29/03/2012,"Lindo y comodo Un hotel muy lindo, lujoso, las camas comodisimas! Buenas instalaciones y servicio en general, claro que es caro.. si no hubiese sido por temas de negocios, probablemente no me hubiese alojado ahi. En terminos de salones tambien muy bien equipado, los coffee breaks riquisimos y la atencion muy cordial. Volveria si el presupuesto me lo permite. "
JW Marriott Hotel Lima,rn126461130,,,Alimoncar,5,1,21/03/2012,"Para volver una y mil veces Un hotel de lujo. Las habitaciones impresionantes, las vistas al mar preciosas. La piscina, una gozada. La comida.. ummmm que puedo decir.. riquisima. La atencion exquisita. La unica pega... que es un poco lioso el ascensor.. que si mete tu llave.. pulsa piso. coge otro ascensor para lobby.. otro para salir del hotel.. pero bueno. estas de vacaciones.. te entretienes un rato! Jajaja. La ubicacion, todo rodeado de restaurantes, tiendas..   "
JW Marriott Hotel Lima,rn126155395,Lima,Peru,antonio_gch,3,0,15/03/2012,"hasta el momento, un servicio no acorde con el precio recien tengo el conocimiento de esta web. el dia de ayer realice una llamada al JW marriott, ya que deseo la suite presidencial para mi aniversario en un horario algo poco particular, luego de pasarme la llamada por 3 personas distintas, y a las 3 repetir lo que deseo, quedaron en comunicarse conmigo por via correo, pues aun sigo esperando..   "
JW Marriott Hotel Lima,rn126122142,Buenos Aires,Argentina,People_from_Pinzon,4,1,14/03/2012,"Muy bueno. Pero prefiero otros para mi estilo. El hotel es ideal para negocios pero no tantos para aquellos que buscan algo mas calido. El hotel es muy grande y como esta en un edificio contiguo a otro de oficinas que se comunican hay mucho flujo de gente. Definitivamente no lo eligiria para vacaciones. La comida esta bien. Las habitaciones son muy buenas, las camas no son las..   "
JW Marriott Hotel Lima,rn125372697,mexico,USA,Adriana G,4,1,28/02/2012,"Muy Bueno El hotel definitivamente es muy bueno, yo estuve en las habitaciones del piso ejecutivo que tiene una sala especial con bocadillos, internet y refrescos, las vistas desde las habitaciones hacia la playa so muy padres, ademas te vas caminando al centro comercial miraflores donde encuentras de todo y para todos los gustos muy recomendable, las camas son muy comodas..   "
JW Marriott Hotel Lima,rn124731332,ARGENTINA,Argentina,ArgentinaLili,4,1,17/02/2012,"Por ser de cadena hotelera, Muy Bueno Tiene uno de los dos mejores desayunos que probe. Es moderno y clasico al a vez. Por ser de una cadena hotelera tiene algunos detalles del lugar. Las habitaciones son amplias, muy comodas. La atencion del personal muy buena y calida como en todo Peru. Por el poco tiempo que estuve no pude disfrutar de todas als instalaciones que tiene...   "
JW Marriott Hotel Lima,rn124458100,bogota,Colombia,dedalo42,4,1,11/02/2012," buen Hotel En realidad se trata de un hotel que esta muy bien ubicado con habitaciones relativamente amplias con buen ambiente. Destacable el lounge bar sushi. Como critica negativa es que la piscina estuvo cerrada durante mi estadia en octubre de 2011 por remodelacion. En terminos generales esta muy bien. Recomendable tomar una habitacion alta, pues el ruido de la calle es..   "
